id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
1672889,3092,NSE_FO:BANKNIFTY2452247800PE,2024-05-17 09:25:00,1,15,326.55,2024-05-17 15:09:00,0,15,216.40,1652.25,33.73,534408.50,312.52,705408.50,-1.09
1672888,3092,NSE_FO:BANKNIFTY2452247800CE,2024-05-17 09:25:00,1,15,373.00,2024-05-17 15:09:00,0,15,410.85,-567.75,-10.15,532756.25,311.55,703756.25,-1.32
1672328,3092,NSE_FO:BANKNIFTY2452248000PE,2024-05-16 09:25:00,1,15,374.05,2024-05-16 15:09:00,0,15,372.15,28.50,0.51,533324.00,311.89,704324.00,-1.24
1672324,3092,NSE_FO:BANKNIFTY2452248000CE,2024-05-16 09:25:00,1,15,388.25,2024-05-16 15:09:00,0,15,337.00,768.75,13.20,533295.50,311.87,704295.50,-1.24
1671792,3092,NSE_FO:BANKNIFTY2451547600PE,2024-05-15 14:48:00,1,15,15.50,2024-05-15 15:09:00,0,15,0.35,227.25,97.74,532526.75,311.42,703526.75,-1.35
1671791,3092,NSE_FO:BANKNIFTY2451547600CE,2024-05-15 14:48:00,1,15,28.60,2024-05-15 15:09:00,0,15,71.50,-643.50,-150.00,532299.50,311.29,703299.50,-1.38
1671763,3092,NSE_FO:BANKNIFTY2451547600PE,2024-05-15 14:44:00,1,15,14.95,2024-05-15 14:48:00,0,15,15.50,-8.25,-3.68,532943.00,311.66,703943.00,-1.29
1671759,3092,NSE_FO:BANKNIFTY2451547600CE,2024-05-15 14:44:00,1,15,42.35,2024-05-15 14:48:00,0,15,28.60,206.25,32.47,532951.25,311.67,703951.25,-1.29
1671731,3092,NSE_FO:BANKNIFTY2451547600PE,2024-05-15 14:18:00,1,15,33.55,2024-05-15 14:44:00,0,15,14.95,279.00,55.44,532745.00,311.55,703745.00,-1.32
1671729,3092,NSE_FO:BANKNIFTY2451547600CE,2024-05-15 14:18:00,1,15,43.20,2024-05-15 14:44:00,0,15,42.35,12.75,1.97,532466.00,311.38,703466.00,-1.36
1671715,3092,NSE_FO:BANKNIFTY2451547600PE,2024-05-15 14:07:00,1,15,37.05,2024-05-15 14:18:00,0,15,33.55,52.50,9.45,532453.25,311.38,703453.25,-1.36
1671714,3092,NSE_FO:BANKNIFTY2451547600CE,2024-05-15 14:07:00,1,15,60.65,2024-05-15 14:18:00,0,15,43.20,261.75,28.77,532400.75,311.35,703400.75,-1.37
1671699,3092,NSE_FO:BANKNIFTY2451547700PE,2024-05-15 12:14:00,1,15,113.45,2024-05-15 14:07:00,0,15,101.50,179.25,10.53,532139.00,311.19,703139.00,-1.40
1671697,3092,NSE_FO:BANKNIFTY2451547700CE,2024-05-15 12:14:00,1,15,56.50,2024-05-15 14:07:00,0,15,25.05,471.75,55.66,531959.75,311.09,702959.75,-1.43
